repo_name,count
scikit-learn-contrib/project-template,2
maciejkula/python-rustlearn,2
pylayers/pylayers,2
gabrielStanovsky/oie-benchmark,2
opendatagroup/hadrian,2
rainforestapp/destimator,2
aldro61/pu-learning,2
DarkEnergyScienceCollaboration/Twinkles,2
jrkerns/pylinac,2
AdrienGuille/TOM,2
yarny/gbdt,2
mynameisfiber/pyxmeans,2
yaoli/arctic-capgen-vid,2
hgascon/adagio,2
impactlab/eemeter,2
CDLuminate/withLinux,2
maxhodak/keras-molecules,2
pathomx/pathomx,2
earcher/nvil_example,2
machinalis/iepy,2
thehackerwithin/berkeley,2
Yandell-Lab/taxonomer_0.5,2
Shuailong/StockPrediction,2
TheUpshot/4thdownbot-model,2
hjweide/adversarial-autoencoder,2
wbap/BriCA1,2
nukui-s/tfranknet,2
mne-tools/mne-hcp,2
fabianp/pytron,2
ManuSetty/wishbone,2
rasbt/musicmood,2
rosinality/knotter,2
uci-cbcl/D-GEX,2
jacoblevine/PhenoGraph,2
KernelAnalysisPlatform/kvalgrind,2
maciejkula/rustlearn,2
xenx/recommendation_system,2
GRAAL-Research/domain_adversarial_neural_network,2
Lasagne/Recipes,2
chrismattmann/tika-similarity,2
pbashivan/EEGLearn,2
littlezz/ESL-Model,2
jmetzen/kernel_regression,2
zygmuntz/classifier-calibration,2
hrantzsch/signature-verification,2
mars-planet/mars_city,2
Hironsan/HotPepperGourmetDialogue,2
ryanbressler/CloudForest,2
karpathy/arxiv-sanity-preserver,2
andreasvc/disco-dop,2
vadimkantorov/cvpr2014,2
andersbll/deeppy,2
bokeh/bokeh,2
domluna/memn2n,2
lyst/lightfm,2
inejc/painters,2
IndicoDataSolutions/Foxhound,2
mitmul/1f-chainer,2
amueller/patsylearn,2
acba/elm,2
skyduy/zfverify,2
mikesj-public/dcgan-autoencoder,2
jakevdp/mst_clustering,2
cemoody/lda2vec,2
jasonleaster/Machine_Learning,2
kedz/sumpy,2
niitsuma/gpusvm,2
pgr-me/metis_projects,2
slinderman/theano_pyglm,2
BerryAI/Acai,2
tuwien-musicir/rp_extract,2
scikit-video/scikit-video,2
Gzsiceberg/kaggle-avito,2
mapsme/omim,2
balajiln/mondrianforest,2
cangermueller/deepcpg,2
urinieto/msaf,2
littleowen/Conceptor,2
danielfrg/tsne,2
textclf/fancy-cnn,2
vinayak-mehta/Movie-Recommender-System,2
JacobPlaster/ann-writer,2
syhw/DL4H,2
PMBio/limix,2
wnzhang/optimal-rtb,2
gmum/pykernels,2
VikParuchuri/scan,2
networkdynamics/geoinference,2
BenLangmead/qtip,2
urinieto/LargeScaleCoverSongId,2
numeristical/introspective,2
mmcauliffe/python-acoustic-similarity,2
interrogator/corpkit,2
automl/SMAC3,2
rmanak/nlp_tutorials,2
woshialex/diagnose-heart,2
