line,path,repo_name
from sklearn import metrics,runs/2013/dnn10_50_50_10/src/evaluation.py,rohit21122012/DCASE2013
from sklearn import metrics,fsa/dev/opt.py,bobflagg/sentiment-analysis
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,tensorflow/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/text_classification_save_restore.py,shakamunyi/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,suiyuan2009/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,bowang/tensorflow
from sklearn import metrics,python/sklearn/learning_sklearn/simple_classification.py,qingkaikong/useful_script
from sklearn import metrics,server/BA_RareSamples.py,Harti/eyede
from sklearn import metrics,doc/tutorial/text_analytics/skeletons/exercise_01_language_train_model.py,ngoix/OCRF
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,alheinecke/tensorflow-xsmm
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_rnn.py,markslwong/tensorflow
from sklearn import metrics,sources/plotUtils/docs_plots/plot_roc_lupus.py,GiulioGx/RNNs
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,hsaputra/tensorflow
from sklearn import metrics,ch08/regression.py,dylanGeng/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,processing_builder_mnb_classifier.py,satyanugraha/classifying-twitter-user-as-resident-or-tourist
from sklearn import metrics,format_py/n_gram_svm_with_cv.py,doylew/detectionsc
from sklearn import metrics,src/identify_singing_voice_gender.py,ybayle/ISMIR2017
from sklearn import metrics,hofTracker_regression.py,bdilday/hofTracker
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,hsaputra/tensorflow
from sklearn import metrics,examples/plot_hdbscan.py,lmcinnes/hdbscan
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,alsrgv/tensorflow
from sklearn import metrics,ep3/dados/teste.py,Evnsan/MAC0425
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,johndpope/tensorflow
from sklearn import metrics,SVM/SVM.py,frankdede/CMPUT466Project
from sklearn import metrics,doc/solutions/exercise_01.py,vtesin/sklearn_tutorial
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,calebfoss/tensorflow
from sklearn import metrics,siamese_net.py,Kadenze/siamese_net
from sklearn import metrics,classify/ml/ml_sklearn.py,Succeed-Together/bakfu
from sklearn import metrics,tensorflow/examples/learn/iris.py,AnishShah/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,HKUST-SING/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/out_of_core_data_classification.py,4Catalyzer/tensorflow
from sklearn import metrics,ontoclassifier/ontoclassifier.py,hans-hjelm/ontolingual
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,alshedivat/tensorflow
from sklearn import metrics,tensorflow/examples/learn/text_classification_character_cnn.py,XueqingLin/tensorflow
from sklearn import metrics,tensorflow/tensorflow/examples/skflow/text_classification.py,SubhasisDutta/WireframeTagging
